pincode,district_name,state_name,serviceable,city_name,city_lat,city_long
302019,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302020,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302021,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302022,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302024,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302026,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302027,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302028,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302029,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302031,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302032,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302033,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302034,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302036,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302037,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302038,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302039,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302040,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302041,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302042,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
302043,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303001,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303002,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303003,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303005,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303006,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303007,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303008,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303009,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303012,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303102,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303103,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303104,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303105,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303106,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303107,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303108,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303109,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303110,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303119,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303120,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303121,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303122,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303123,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303301,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303302,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303305,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303328,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303329,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303338,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303348,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303601,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303602,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303603,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303604,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303701,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303702,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303704,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303706,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303712,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303801,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303803,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303804,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303805,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303806,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303807,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303901,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303903,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303904,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303905,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
303908,Jaipur,RAJASTHAN,1,Jaipur,26.9124336,75.7872709
380001,Ahmedabad,GUJARAT,1,Ahmedabad,23.022505,72.5713621
