,actor,applicationid,from_status,substatuses,userid
1088,siddharthan.l,49057,INITIATED,"[""FOIR""]",64070
1089,lakshmidevi.m,49058,INITIATED,"[""FOIR""]",297195
1090,siddharthan.l,49059,INITIATED,"[""FOIR""]",123639
1091,lakshmidevi.m,49062,INITIATED,"[""FOIR""]",463249
1092,chandrakala.nb,49070,CREDIT_PENDING,"[""FOIR""]",463482
1093,anurag.prateek,49072,CREDIT_PENDING,"[""LLP_AND_PARTNERSHIP""]",463839
1094,lakshmidevi.m,49073,INITIATED,"[""WORK_EX_MIN"", ""MCA_NOT_FOUND""]",460728
1095,aparajita.bariyar,49074,INITIATED,"[""FOIR""]",464545
1096,lakshmidevi.m,49078,INITIATED,"[""FOIR""]",112833
1097,anurag.prateek,49128,CREDIT_PENDING,"[""FOIR"", ""PAID_UP_CAPITAL_MIN""]",466419
1098,siddharthan.l,49130,INITIATED,"[""FOIR""]",466173
1099,siddharthan.l,49131,INITIATED,"[""FOIR""]",454441
